wealth,age,educ,marry
24605.,58,5,0
1852520.,37,5,1
118829.,66,5,1
216232.,31,3,0
1812046.,69,5,0
5404401.,55,5,1
124401.,44,2,1
92423.,37,2,0
69534.,53,5,1
272348.,51,4,0
29494.,42,1,0
1284878.,66,4,0
284841.,57,3,1
27303.,34,1,1
21465.,32,4,1
18695.,32,3,0
77567.,32,4,0
20122.,69,2,1
61354.,38,4,0
94999.,35,2,1
125370.,33,5,0
395021.,53,3,1
525244.,63,4,1
506699.,45,3,1
59817.,49,2,1
187058.,39,5,1
16707.,36,1,1
110043.,54,4,1
77979.,66,2,1
59486.,30,3,0
57481.,61,3,1
2160.,22,3,0
2133.,23,3,0
73543.,40,3,0
418131.,52,2,0
3125.,23,2,1
714145.,57,1,0
124728.,38,1,1
273717.,41,5,1
178960.,53,4,1
37367.,64,1,1
720391.,42,4,1
177744.,34,5,1
15801.,28,4,0
236593.,54,2,1
363289.,44,2,1
172574.,37,2,1
31704.,37,4,1
5680.,23,2,0
271941.,56,2,1
16610.,23,4,0
28052.,43,2,1
83187.,37,3,0
1184438.,55,4,1
5313.,22,3,0
24996.,27,3,1
50274.,62,3,1
888211.,52,4,1
247735.,64,3,1
317028.,54,4,1
493217.,30,4,0
188724.,56,3,1
4834.,24,3,0
9638.,65,4,1
879568.,56,3,1
37277.,31,3,1
266614.,56,3,0
1123719.,51,3,1
34228.,36,4,1
506127.,49,2,1
169827.,38,2,1
144901.,56,3,0
364356.,59,4,1
322066.,40,4,1
140957.,30,3,0
1131.,25,3,0
214368.,54,4,1
25270.,76,1,1
14717.,34,4,0
317709.,46,2,0
96260.,55,2,1
175867.,41,4,1
32727.,33,2,0
254516.,65,3,0
102075.,41,3,1
4003.,33,2,0
14427.,27,4,0
133821.,31,4,1
26100.,56,3,0
48742.,34,1,1
96306.,67,2,0
44179.,28,1,1
6587.,26,3,0
66152.,41,2,1
330185.,52,3,1
35331.,37,5,0
114359.,57,4,1
92192.,59,3,1
6734.,25,4,0
379503.,41,3,1
669253.,42,5,1
24519.,46,1,1
95260.,30,2,0
119512.,33,3,0
306635.,35,4,1
79135.,34,2,1
107944.,55,5,1
26152.,38,2,1
52489.,39,2,0
5231.,23,3,1
4460.,26,3,0
206876.,40,3,1
10348.,27,5,0
5318972.,53,2,0
55542.,47,2,1
52987.,48,2,1
126882.,43,2,1
11714.,29,4,0
1100521.,63,1,1
17617.,55,2,1
10739.,21,2,0
929363.,59,2,1
47651.,41,3,0
35783.,41,3,1
32903.,54,1,0
194145.,30,4,1
122273.,39,3,0
2562783.,39,3,1
164123.,43,4,0
378145.,49,4,0
19940.,34,3,0
42490.,32,3,1
248580.,75,2,1
97825.,40,2,0
695277.,58,5,1
112758.,41,2,0
4142.,25,3,0
1726729.,61,5,1
22920.,26,5,0
26490.,31,5,1
213191.,54,3,1
306586.,54,3,0
3101350.,62,3,1
206755.,32,4,0
13489.,28,1,1
221762.,56,2,1
26527.,26,4,1
11453.,23,3,0
66804.,68,2,1
470079.,44,2,0
9577.,28,2,0
2536.,26,2,1
196705.,50,3,1
75522.,62,3,0
60200.,65,5,1
65892.,60,3,1
154207.,56,5,1
65702.,57,1,1
172628.,45,1,1
716070.,52,4,1
82693.,34,4,1
31160.,50,3,1
2485.,22,2,0
922778.,51,5,1
541198.,60,3,1
85588.,27,4,1
4788.,25,2,0
207359.,47,4,0
201891.,66,4,1
359988.,30,4,1
187194.,63,2,0
302334.,42,3,1
113836.,49,3,0
1790596.,42,4,1
150492.,38,2,1
180660.,34,2,1
41369.,47,2,0
766349.,57,4,1
111729.,36,4,0
256932.,66,4,0
178993.,61,5,1
542073.,53,2,0
481520.,48,1,0
53658.,35,2,1
167086.,58,5,1
65987.,36,3,1
157908.,43,4,0
2157299.,42,4,1
190251.,40,4,1
30762.,41,3,1
19416.,30,1,1
